rawX,rawY,rawZ,ax_corr(g),ay_corr(g),az_corr(g),gx_corr(rad/s),gy_corr, gz_corr
332,820,16808,0.001,0.023,0.024,0.005,0.005,0.000
384,922,16872,0.023,0.076,0.989,-0.008,-0.008,-0.001
398,954,16858,0.024,0.078,0.988,-0.007,-0.009,-0.001
410,916,16882,0.025,0.076,0.989,-0.008,-0.008,-0.000
370,920,16910,0.023,0.076,0.992,-0.009,-0.008,-0.001
392,908,16858,0.023,0.076,0.989,-0.008,-0.008,-0.001
398,926,16908,0.024,0.077,0.992,-0.008,-0.007,-0.001
344,884,16910,0.021,0.074,0.992,-0.008,-0.007,-0.001
392,922,16874,0.025,0.076,0.989,-0.008,-0.007,-0.001
388,926,16846,0.024,0.076,0.988,-0.008,-0.008,-0.001
386,902,16888,0.023,0.076,0.990,-0.009,-0.008,0.000
390,930,16886,0.024,0.077,0.990,-0.008,-0.007,-0.001
428,954,16830,0.025,0.078,0.987,-0.008,-0.009,-0.000
340,904,16828,0.021,0.075,0.987,-0.009,-0.008,-0.000
356,912,16876,0.021,0.075,0.989,-0.008,-0.008,-0.000
388,962,16932,0.024,0.078,0.993,-0.009,-0.008,-0.001
372,928,16926,0.023,0.076,0.992,-0.009,-0.008,0.000
358,944,16888,0.022,0.077,0.990,-0.008,-0.008,-0.001
368,932,16880,0.022,0.077,0.990,-0.008,-0.008,-0.001
374,930,16916,0.022,0.076,0.992,-0.008,-0.008,0.000
396,928,16868,0.024,0.076,0.990,-0.008,-0.008,-0.000
356,934,16872,0.022,0.077,0.990,-0.008,-0.008,-0.000
390,924,16824,0.024,0.076,0.987,-0.008,-0.008,0.000
374,942,16876,0.023,0.077,0.990,-0.009,-0.009,-0.001
350,910,16808,0.021,0.075,0.986,-0.009,-0.008,-0.001
380,922,16956,0.024,0.076,0.994,-0.009,-0.010,-0.001
372,934,16912,0.023,0.077,0.991,-0.009,-0.007,-0.001
376,930,16872,0.024,0.077,0.990,-0.009,-0.009,-0.000
358,946,16870,0.022,0.078,0.990,-0.008,-0.008,-0.001
408,942,16876,0.024,0.078,0.989,-0.009,-0.008,-0.001
354,888,16920,0.021,0.074,0.993,-0.009,-0.008,-0.001
396,918,16924,0.024,0.076,0.993,-0.009,-0.009,-0.000
374,932,16856,0.023,0.077,0.989,-0.008,-0.010,-0.000
356,940,16912,0.022,0.077,0.992,-0.009,-0.008,-0.000
390,918,16838,0.024,0.076,0.987,-0.008,-0.009,-0.000
372,932,16906,0.022,0.077,0.991,-0.009,-0.009,-0.001
370,914,16870,0.022,0.076,0.989,-0.009,-0.009,-0.000
