Accel X(g),Accel Y(g),Accel Z(g),Gyro X(rad/s),Gyro Y(rad/s),Gyro Z(rad/s)
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.02,1.01,-0.00,-0.01,0.00
-0.03,0.02,1.00,-0.01,-0.01,0.00
-0.03,0.02,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.02,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.02,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.02,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.02,1.00,-0.00,-0.01,0.00
-0.03,0.02,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.02,0.02,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.02,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.02,0.03,1.00,-0.00,-0.01,0.00
-0.02,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.01,-0.01,-0.01,-0.00
-0.04,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.02,1.00,-0.01,-0.01,0.00
-0.02,0.03,1.00,-0.00,-0.01,-0.00
-0.02,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.02,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.02,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.02,0.03,1.00,-0.01,-0.01,0.00
-0.04,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.02,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.02,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.01,-0.00,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.02,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.01,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,-0.00
-0.03,0.03,1.01,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.04,0.02,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.01,-0.01,0.00
-0.03,0.03,1.00,-0.01,-0.01,-0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.00,-0.00,-0.01,0.00
-0.03,0.03,1.01,-0.01,-0.01,0.00
